ageType_ID,AgeType,Region,CD1,CD2,Other,All_data,CD1_100,CD2_100,Other_100,All_100,year,ID,Region_product
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-03-01,1,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-04-01,2,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-05-01,3,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-06-01,4,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-07-01,5,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-08-01,6,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-09-01,7,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-10-01,8,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-11-01,9,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-12-01,10,Республика_Адыгея
,,Адыгея Респ.,66.0,1027.0,34.0,1129.0,45.0,283.0,9.0,340.0,2020-02-01,11,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-03-01,12,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-04-01,13,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-05-01,14,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-06-01,15,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-07-01,16,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-08-01,17,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-09-01,18,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-10-01,19,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-11-01,20,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-12-01,21,Республика_Адыгея
,,Адыгея Респ.,67.0,1139.0,42.0,1249.0,42.0,313.0,11.0,370.0,2022-02-01,22,Республика_Адыгея
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-03-01,23,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-04-01,24,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-05-01,25,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-06-01,26,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-07-01,27,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-08-01,28,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-09-01,29,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-10-01,30,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-11-01,31,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-12-01,32,Республика_Алтай
,,Алтай Респ.,25.0,377.0,8.0,411.0,27.0,247.0,5.0,281.0,2020-02-01,33,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-03-01,34,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-04-01,35,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-05-01,36,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-06-01,37,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-07-01,38,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-08-01,39,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-09-01,40,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-10-01,41,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-11-01,42,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-12-01,43,Республика_Алтай
,,Алтай Респ.,26.0,392.0,6.0,425.0,27.0,254.0,4.0,286.0,2022-02-01,44,Республика_Алтай
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-03-01,45,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-04-01,46,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-05-01,47,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-06-01,48,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-07-01,49,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-08-01,50,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-09-01,51,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-10-01,52,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-11-01,53,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-12-01,54,Алтайский_край
,,Алтайский край,366.0,7498.0,87.0,7953.0,47.0,410.0,4.0,463.0,2020-02-01,55,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-03-01,56,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-04-01,57,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-05-01,58,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-06-01,59,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-07-01,60,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-08-01,61,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-09-01,62,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-10-01,63,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-11-01,64,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-12-01,65,Алтайский_край
,,Алтайский край,375.0,7612.0,72.0,8061.0,53.0,426.0,4.0,484.0,2022-02-01,66,Алтайский_край
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-03-01,67,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-04-01,68,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-05-01,69,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-06-01,70,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-07-01,71,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-08-01,72,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-09-01,73,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-10-01,74,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-11-01,75,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-12-01,76,Амурская_область
,,Амурская обл.,94.0,2284.0,57.0,2436.0,39.0,373.0,9.0,423.0,2020-02-01,77,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-03-01,78,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-04-01,79,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-05-01,80,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-06-01,81,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-07-01,82,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-08-01,83,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-09-01,84,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-10-01,85,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-11-01,86,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-12-01,87,Амурская_область
,,Амурская обл.,98.0,2395.0,46.0,2541.0,44.0,401.0,7.0,455.0,2022-02-01,88,Амурская_область
,,Архангельская обл.,217.0,3574.0,570.0,4362.0,64.0,412.0,65.0,544.0,2020-03-01,89,Архангельская_область
,,Архангельская обл.,217.0,3574.0,570.0,4362.0,64.0,412.0,65.0,544.0,2020-04-01,90,Архангельская_область
,,Архангельская обл.,217.0,3574.0,570.0,4362.0,64.0,412.0,65.0,544.0,2020-05-01,91,Архангельская_область
